Date|Code|Description|Type|Isin Code|Issuer|Status|Stock Exchange|Listing Date|Currency|Form|Eff. Date Isin|Maturity Date|Expire Date|Exercise Price|Interest|Interest Type|Interest Freq|Nominal Value|Num. of Sec|Originated Amt|Current Amt|Total Scripless|Local (%)|Foreign (%)|Total (%)|Sector|Closing Price
31-MAR-2022|ADMF04DCN3|OBLIGASI BERKELANJUTAN IV ADIRA FINANCE TAHAP III TAHUN 2018 SERI D|CORPORATE BOND|IDA0000930D4|ADIRA DINAMIKA MULTI FINANCE Tbk, PT|ACTIVE|IDX|20-AUG-2018|IDR|Electronic||16-AUG-2022|||9|FIXED|3 MONTHS|||268500000000|268500000000|268500000000|100|0|100|FINANCIAL INSTITUTION|1
31-MAR-2022|ADMF04ECN3|OBLIGASI BERKELANJUTAN IV ADIRA FINANCE TAHAP III TAHUN 2018 SERI E|CORPORATE BOND|IDA0000930E2|ADIRA DINAMIKA MULTI FINANCE Tbk, PT|ACTIVE|IDX|20-AUG-2018|IDR|Electronic||16-AUG-2023|||9.25|FIXED|3 MONTHS|||460750000000|460750000000|460750000000|99.89|0.11|100|FINANCIAL INSTITUTION|1
31-MAR-2022|ADMF05ACN2|OBLIGASI BERKELANJUTAN V ADIRA FINANCE TAHAP II TAHUN 2021 SERI A|CORPORATE BOND|IDA0001161A1|ADIRA DINAMIKA MULTI FINANCE Tbk, PT|ACTIVE|IDX|26-JUL-2021|IDR|Electronic||03-AUG-2022|||4.25|FIXED|3 MONTHS|||559000000000|559000000000|559000000000|100|0|100|FINANCIAL INSTITUTION|1
31-MAR-2022|ADMF05ACN3|OBLIGASI BERKELANJUTAN V ADIRA FINANCE TAHAP III TAHUN 2022 SERI A|CORPORATE BOND|IDA0001222A1|ADIRA DINAMIKA MULTI FINANCE Tbk, PT|ACTIVE|IDX|23-MAR-2022|IDR|Electronic||02-APR-2023|||3.5|FIXED|3 MONTHS|||620000000000|620000000000|620000000000|100|0|100|FINANCIAL INSTITUTION|1
31-MAR-2022|ADMF05BCN1|OBLIGASI BERKELANJUTAN V ADIRA FINANCE TAHAP I TAHUN 2020 SERI B|CORPORATE BOND|IDA0001075B1|ADIRA DINAMIKA MULTI FINANCE Tbk, PT|ACTIVE|IDX|08-JUL-2020|IDR|Electronic||07-JUL-2023|||7.9|FIXED|3 MONTHS|||816050000000|816050000000|816050000000|100|0|100|FINANCIAL INSTITUTION|1
31-MAR-2022|ADMF05BCN2|OBLIGASI BERKELANJUTAN V ADIRA FINANCE TAHAP II TAHUN 2021 SERI B|CORPORATE BOND|IDA0001161B9|ADIRA DINAMIKA MULTI FINANCE Tbk, PT|ACTIVE|IDX|26-JUL-2021|IDR|Electronic||23-JUL-2024|||5.5|FIXED|3 MONTHS|||741000000000|741000000000|741000000000|98.92|1.08|100|FINANCIAL INSTITUTION|1
31-MAR-2022|ADMF05BCN3|OBLIGASI BERKELANJUTAN V ADIRA FINANCE TAHAP III TAHUN 2022 SERI B|CORPORATE BOND|IDA0001222B9|ADIRA DINAMIKA MULTI FINANCE Tbk, PT|ACTIVE|IDX|23-MAR-2022|IDR|Electronic||22-MAR-2025|||5.6|FIXED|3 MONTHS|||830000000000|830000000000|830000000000|99.75|0.25|100|FINANCIAL INSTITUTION|1
31-MAR-2022|ADMF05CCN3|OBLIGASI BERKELANJUTAN V ADIRA FINANCE TAHAP III TAHUN 2022 SERI C|CORPORATE BOND|IDA0001222C7|ADIRA DINAMIKA MULTI FINANCE Tbk, PT|ACTIVE|IDX|23-MAR-2022|IDR|Electronic||22-MAR-2027|||6.25|FIXED|3 MONTHS|||250000000000|250000000000|250000000000|99.2|0.8|100|FINANCIAL INSTITUTION|1
31-MAR-2022|AGII01BCN1|OBL BKLJT I ANEKA GAS INDUSTRI THP I TH2017 SERI B|CORPORATE BOND|IDA0000810B2|ANEKA GAS INDUSTRI Tbk, PT|ACTIVE|IDX|07-JUN-2017|IDR|Electronic||06-JUN-2022|||10.35|FIXED|3 MONTHS|||19000000000|19000000000|19000000000|100|0|100|ENERGY|1
31-MAR-2022|AGII01BCN2|OBL BKLJ I ANEKA GAS INDUSTRI THP II TH2017 SERI B|CORPORATE BOND|IDA0000866B4|ANEKA GAS INDUSTRI Tbk, PT|ACTIVE|IDX|06-DEC-2017|IDR|Electronic||05-DEC-2022|||9.9|FIXED|3 MONTHS|||61000000000|61000000000|61000000000|100|0|100|ENERGY|1
31-MAR-2022|AGII01BCN3|OBLIGASI BERKELANJUTAN I ANEKA GAS INDUSTRI TAHAP III TAHUN 2019 SERI B|CORPORATE BOND|IDA0000970B4|ANEKA GAS INDUSTRI Tbk, PT|ACTIVE|IDX|20-MAR-2019|IDR|Electronic||19-MAR-2024|||11.5|FIXED|3 MONTHS|||16000000000|16000000000|16000000000|100|0|100|ENERGY|1
31-MAR-2022|AGII02ACN1|OBLIGASI BERKELANJUTAN II ANEKA GAS INDUSTRI TAHAP I TAHUN 2020 SERI A|CORPORATE BOND|IDA0001087A8|ANEKA GAS INDUSTRI Tbk, PT|ACTIVE|IDX|18-AUG-2020|IDR|Electronic||14-AUG-2023|||9.8|FIXED|3 MONTHS|||9000000000|9000000000|9000000000|100|0|100|ENERGY|1
31-MAR-2022|AGII02ACN3|OBLIGASI BERKELANJUTAN II ANEKA GAS INDUSTRI TAHAP III TAHUN 2021 SERI A|CORPORATE BOND|IDA0001155A3|ANEKA GAS INDUSTRI Tbk, PT|ACTIVE|IDX|07-JUL-2021|IDR|Electronic||16-JUL-2022|||7.5|FIXED|3 MONTHS|||15000000000|15000000000|15000000000|100|0|100|ENERGY|1
31-MAR-2022|AGII02ACN4|OBLIGASI BERKELANJUTAN II ANEKA GAS INDUSTRI TAHAP IV TAHUN 2021 SERI A|CORPORATE BOND|IDA0001199A1|ANEKA GAS INDUSTRI Tbk, PT|ACTIVE|IDX|23-DEC-2021|IDR|Electronic||22-DEC-2024|||8.1|FIXED|3 MONTHS|||44700000000|44700000000|44700000000|100|0|100|ENERGY|1
31-MAR-2022|AGII02BCN1|OBLIGASI BERKELANJUTAN II ANEKA GAS INDUSTRI TAHAP I TAHUN 2020 SERI B|CORPORATE BOND|IDA0001087B6|ANEKA GAS INDUSTRI Tbk, PT|ACTIVE|IDX|18-AUG-2020|IDR|Electronic||14-AUG-2025|||10.55|FIXED|3 MONTHS|||2000000000|2000000000|2000000000|100|0|100|ENERGY|1
31-MAR-2022|AGII02BCN3|OBLIGASI BERKELANJUTAN II ANEKA GAS INDUSTRI TAHAP III TAHUN 2021 SERI B|CORPORATE BOND|IDA0001155B1|ANEKA GAS INDUSTRI Tbk, PT|ACTIVE|IDX|07-JUL-2021|IDR|Electronic||06-JUL-2024|||9.35|FIXED|3 MONTHS|||145000000000|145000000000|145000000000|100|0|100|ENERGY|1
31-MAR-2022|AGII02BCN4|OBLIGASI BERKELANJUTAN II ANEKA GAS INDUSTRI TAHAP IV TAHUN 2021 SERI B|CORPORATE BOND|IDA0001199B9|ANEKA GAS INDUSTRI Tbk, PT|ACTIVE|IDX|23-DEC-2021|IDR|Electronic||22-DEC-2026|||9.15|FIXED|3 MONTHS|||46300000000|46300000000|46300000000|100|0|100|ENERGY|1
31-MAR-2022|AGII02CCN1|OBLIGASI BERKELANJUTAN II ANEKA GAS INDUSTRI TAHAP I TAHUN 2020 SERI C|CORPORATE BOND|IDA0001087C4|ANEKA GAS INDUSTRI Tbk, PT|ACTIVE|IDX|18-AUG-2020|IDR|Electronic||14-AUG-2027|||11.25|FIXED|3 MONTHS|||1000000000|1000000000|1000000000|100|0|100|ENERGY|1
31-MAR-2022|AGII02CCN3|OBLIGASI BERKELANJUTAN II ANEKA GAS INDUSTRI TAHAP III TAHUN 2021 SERI C|CORPORATE BOND|IDA0001155C9|ANEKA GAS INDUSTRI Tbk, PT|ACTIVE|IDX|07-JUL-2021|IDR|Electronic||06-JUL-2028|||10.75|FIXED|3 MONTHS|||78000000000|78000000000|78000000000|100|0|100|ENERGY|1
31-MAR-2022|AGII02CCN4|OBLIGASI BERKELANJUTAN II ANEKA GAS INDUSTRI TAHAP IV TAHUN 2021 SERI C|CORPORATE BOND|IDA0001199C7|ANEKA GAS INDUSTRI Tbk, PT|ACTIVE|IDX|23-DEC-2021|IDR|Electronic||22-DEC-2028|||10|FIXED|3 MONTHS|||59000000000|59000000000|59000000000|100|0|100|ENERGY|1
31-MAR-2022|AGRO01B|OBLIGASI I BRI AGRO TAHUN 2017 SERI B|CORPORATE BOND|IDA0000830B0|BANK RAYA INDONESIA Tbk, PT|ACTIVE|IDX|10-JUL-2017|IDR|Electronic||07-JUL-2022|||8.5|FIXED|3 MONTHS|||239000000000|239000000000|239000000000|100|0|100|BANK|1
